Region,Business,Technology,Data Science,Overall Rank,Overall Rank Business,Overall Rank Technology,Overall Rank Data Science
United States,0.64,0.69,0.73,29.0,40.0,35.0,30.0
United States : West,0.56,0.98,0.89,,,,
United States : Midwest,0.97,0.46,0.67,,,,
United States : Northeast,0.27,0.6,0.71,,,,
United States : South,0.4,0.41,0.57,,,,
Canada,0.11,0.67,0.7,55.0,97.0,37.0,33.0
